curriculum_scenario_id,document_id,item_number,category,subcategory,scenario_text,question_prompt,source_page,extraction_method,created_at
sjt-sex-001,curriculum-f95c3e525005,1,Sex,Offensive Labels or Language - Use of Epithets and Slurs,"A female E3 claims a male officer in her unit called her a 'bitch' after blaming her for the
unit's failure during a field exercise. She approaches you and explains what has happened.",Your next course of action would be to:,1,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-002,curriculum-f95c3e525005,2,Sex,Offensive Labels or Language - Use of Epithets and Slurs,"A female tells you that a male member of her unit refers to her and all the other unit members
(male or female) as 'bitches'. She tells you, ""He ends every sentence with the word. I know he is
using the word casually, he even smiles while he is saying it, but it still makes me very
uncomfortable"".","Of the following, the most important course of action is to:",1,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-003,curriculum-f95c3e525005,3,Sex,Offensive Labels or Language - Use of Epithets and Slurs,"A male officer comes to you for advice. He tells you a female officer in his unit frequently
tells him ""go fuck yourself'. He tells you it started out as a joke, but now she says it all the time.
He tells you, ""If I said that to her, I know she would file a complaint on me, and because I am a
man I would be a considered a sexist. It isn't fair that she can say whatever she wants because
she is a woman.""",Your next course of action would be to:,1,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-005,curriculum-f95c3e525005,5,Sex,Offensive Labels or Language - Use of Epithets and Slurs,"There is a rumor circulating that a male officer in your unit is a pedophile. He comes to you
for advice. He tells you that a female officer in the unit started these rumors in retaliation
because he received a promotion she felt she deserved.","Of the following, your next question to the male officer would be:",1,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-006,curriculum-f95c3e525005,6,Sex,Offensive Labels or Language - Use of Epithets and Slurs,"A male officer tells you the females in the unit have been calling him a 'pedophile' because he
went on a date with a 16-year old female. He tells you he didn't know her age at the time, and
has since stopped seeing her. He also tells you that no sexual activity occurred. He is concerned
that this type of rumor could ruin his career.","Of the following, the most important course of action is:",2,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-007,curriculum-f95c3e525005,7,Sex,Offensive Labels or Language - Use of Epithets and Slurs,"After overhearing one of your unit members profusely use the word 'bitch' when referring to
another member of the unit, you decide to plan a training session on the use of inappropriate and
offensive language.",Of the following your first course of action is:,2,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-008,curriculum-f95c3e525005,8,Sex,Offensive Labels or Language - Use of Epithets and Slurs,"A male E3 lost a competition to a female E3 in his unit. After the competition, while she was
alone, he approached her, shook her hand, and sarcastically said, ""Way to go, you are the world's
greatest cunt"". She comes to you because she is worried that he is taking the loss personally. She
tells you that she doesn't know what he is capable of doing.","Of the following, your next question to female E3 would be:",2,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-009,curriculum-f95c3e525005,9,Sex,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"You overhear a male E4 tells a female E2, ""You know what your problem is? You need to get
laid! You're way too uptight!""",Your next course of action would be to:,2,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-010,curriculum-f95c3e525005,10,Sex,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"While patrolling, a male E2 asked a female E2, ""Are you on your rag? It must be that time of
the month because you are really being sensitive today!"" She tells you, ""I was so embarrassed
that I was speechless, I can't believe he made that comment to me"".",Your next course of action would be to:,3,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-012,curriculum-f95c3e525005,12,Sex,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"Four females of the unit have come to you. Their male commanding officer is referred to as a
'pimp' by other males in the unit. They tell you that as females in his unit, they are referred to as
his 'hos'. They tell you the commanding officer has heard the comments but has remained silent
on the issue.",Your next course of action would be to:,3,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-013,curriculum-f95c3e525005,13,Sex,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"One of the remarks submitted on a climate assessment survey is that ""a women's place is and
always will be, in the kitchen, not in the military"".","Of the following, the most important course of action is to:",3,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-014,curriculum-f95c3e525005,14,Sex,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"During a climate assessment focus group, a female officer tells the group about a
conversation she recently overheard in the dining facility. A group of males were talking about a
local strip club they recently visited. One of the males at the table commented ""stripping is what
all women should be doing for a living"". Another male at the table then commented, ""We sure
don't need them here in the military"".","Of the following, the most important course of action is:",3,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-015,curriculum-f95c3e525005,15,Sex,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A female officer frequently makes the comment that ""men serve absolutely no purpose here
on earth"". When confronted about the comments, she contends she is not being sexist, and that
her comments are scientifically supported.",Your next course of action would be to:,3,tesseract_ocr,2026-05-07T18:39:09.770Z
